SampleID,Tissue,protocol,Group,read_type,Replicate,bamReads,Peaks,PeakCaller
As4.1_H89_Vehicle_2,As4.1,ATAC-seq,Renin_Normal,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_H89_Vehicle_2/aligned_mm10/As4.1_H89_Vehicle_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_H89_Vehicle_2/peak_calling_mm10/As4.1_H89_Vehicle_2_peaks_normalized.narrowPeak,narrow
As4.1_Jq1_+_1,As4.1,ATAC-seq,Renin_Low,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_+_1/aligned_mm10/As4.1_Jq1_+_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_+_1/peak_calling_mm10/As4.1_Jq1_+_1_peaks_normalized.narrowPeak,narrow
As4.1_Jq1_+_2,As4.1,ATAC-seq,Renin_Low,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_+_2/aligned_mm10/As4.1_Jq1_+_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_+_2/peak_calling_mm10/As4.1_Jq1_+_2_peaks_normalized.narrowPeak,narrow
As4.1_Jq1_-_1,As4.1,ATAC-seq,Renin_Normal,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_-_1/aligned_mm10/As4.1_Jq1_-_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_-_1/peak_calling_mm10/As4.1_Jq1_-_1_peaks_normalized.narrowPeak,narrow
As4.1_Jq1_-_2,As4.1,ATAC-seq,Renin_Normal,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_-_2/aligned_mm10/As4.1_Jq1_-_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_Jq1_-_2/peak_calling_mm10/As4.1_Jq1_-_2_peaks_normalized.narrowPeak,narrow
As4.1_A485_1,As4.1,ATAC-seq,Renin_Low,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_A485_1/aligned_mm10/As4.1_A485_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_A485_1/peak_calling_mm10/As4.1_A485_1_peaks_normalized.narrowPeak,narrow
As4.1_A485_2,As4.1,ATAC-seq,Renin_Low,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_A485_2/aligned_mm10/As4.1_A485_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_A485_2/peak_calling_mm10/As4.1_A485_2_peaks_normalized.narrowPeak,narrow
As4.1_A485_Vehicle_2,As4.1,ATAC-seq,Renin_Normal,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_A485_Vehicle_2/aligned_mm10/As4.1_A485_Vehicle_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_A485_Vehicle_2/peak_calling_mm10/As4.1_A485_Vehicle_2_peaks_normalized.narrowPeak,narrow
Ren1c--_Ren1c-YFP_1,primary_kidney_cells,ATAC-seq,Renin_High,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_1/aligned_mm10/Ren1c--_Ren1c-YFP_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_1/peak_calling_mm10/Ren1c--_Ren1c-YFP_1_peaks_normalized.narrowPeak,narrow
Ren1c--_Ren1c-YFP_2,primary_kidney_cells,ATAC-seq,Renin_High,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_2/aligned_mm10/Ren1c--_Ren1c-YFP_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_2/peak_calling_mm10/Ren1c--_Ren1c-YFP_2_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_1,primary_kidney_cells,ATAC-seq,Renin_Normal,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_1/aligned_mm10/Ren1c-YFP_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_1/peak_calling_mm10/Ren1c-YFP_1_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_2,primary_kidney_cells,ATAC-seq,Renin_Normal,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_2/aligned_mm10/Ren1c-YFP_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_2/peak_calling_mm10/Ren1c-YFP_2_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_Low_Na+Cap_1,primary_kidney_cells,ATAC-seq,Renin_High,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_1/aligned_mm10/Ren1c-YFP_Low_Na+Cap_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_1/peak_calling_mm10/Ren1c-YFP_Low_Na+Cap_1_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_Low_Na+Cap_2,primary_kidney_cells,ATAC-seq,Renin_High,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_2/aligned_mm10/Ren1c-YFP_Low_Na+Cap_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_2/peak_calling_mm10/Ren1c-YFP_Low_Na+Cap_2_peaks_normalized.narrowPeak,narrow
As4.1_2,As4.1,ATAC-seq,Renin_Normal,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_2/aligned_mm10/As4.1_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/As4.1_2/peak_calling_mm10/As4.1_2_peaks_normalized.narrowPeak,narrow
ENCSR012YAB_1,hindbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR012YAB_1/aligned_mm10/ENCSR012YAB_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR012YAB_1/peak_calling_mm10/ENCSR012YAB_1_peaks_normalized.narrowPeak,narrow
ENCSR012YAB_2,hindbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR012YAB_2/aligned_mm10/ENCSR012YAB_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR012YAB_2/peak_calling_mm10/ENCSR012YAB_2_peaks_normalized.narrowPeak,narrow
ENCSR023QZX_1,primary_kidney_cells,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR023QZX_1/aligned_mm10/ENCSR023QZX_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR023QZX_1/peak_calling_mm10/ENCSR023QZX_1_peaks_normalized.narrowPeak,narrow
ENCSR023QZX_2,primary_kidney_cells,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR023QZX_2/aligned_mm10/ENCSR023QZX_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR023QZX_2/peak_calling_mm10/ENCSR023QZX_2_peaks_normalized.narrowPeak,narrow
ENCSR031HDN_1,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR031HDN_1/aligned_mm10/ENCSR031HDN_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR031HDN_1/peak_calling_mm10/ENCSR031HDN_1_peaks_normalized.narrowPeak,narrow
ENCSR031HDN_2,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR031HDN_2/aligned_mm10/ENCSR031HDN_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR031HDN_2/peak_calling_mm10/ENCSR031HDN_2_peaks_normalized.narrowPeak,narrow
ENCSR032HKE_1,liver,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR032HKE_1/aligned_mm10/ENCSR032HKE_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR032HKE_1/peak_calling_mm10/ENCSR032HKE_1_peaks_normalized.narrowPeak,narrow
ENCSR032HKE_2,liver,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR032HKE_2/aligned_mm10/ENCSR032HKE_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR032HKE_2/peak_calling_mm10/ENCSR032HKE_2_peaks_normalized.narrowPeak,narrow
ENCSR064IHX_1,Megakaryocyte-erythroid_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR064IHX_1/aligned_mm10/ENCSR064IHX_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR064IHX_1/peak_calling_mm10/ENCSR064IHX_1_peaks_normalized.narrowPeak,narrow
ENCSR064IHX_2,Megakaryocyte-erythroid_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR064IHX_2/aligned_mm10/ENCSR064IHX_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR064IHX_2/peak_calling_mm10/ENCSR064IHX_2_peaks_normalized.narrowPeak,narrow
ENCSR064IHX_3,Megakaryocyte-erythroid_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR064IHX_3/aligned_mm10/ENCSR064IHX_3_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR064IHX_3/peak_calling_mm10/ENCSR064IHX_3_peaks_normalized.narrowPeak,narrow
ENCSR068YGC_1,heart,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR068YGC_1/aligned_mm10/ENCSR068YGC_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR068YGC_1/peak_calling_mm10/ENCSR068YGC_1_peaks_normalized.narrowPeak,narrow
ENCSR068YGC_2,heart,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR068YGC_2/aligned_mm10/ENCSR068YGC_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR068YGC_2/peak_calling_mm10/ENCSR068YGC_2_peaks_normalized.narrowPeak,narrow
ENCSR079GOY_1,intestine,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR079GOY_1/aligned_mm10/ENCSR079GOY_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR079GOY_1/peak_calling_mm10/ENCSR079GOY_1_peaks_normalized.narrowPeak,narrow
ENCSR079GOY_2,intestine,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR079GOY_2/aligned_mm10/ENCSR079GOY_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR079GOY_2/peak_calling_mm10/ENCSR079GOY_2_peaks_normalized.narrowPeak,narrow
ENCSR088UYE_1,hindbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR088UYE_1/aligned_mm10/ENCSR088UYE_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR088UYE_1/peak_calling_mm10/ENCSR088UYE_1_peaks_normalized.narrowPeak,narrow
ENCSR088UYE_2,hindbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR088UYE_2/aligned_mm10/ENCSR088UYE_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR088UYE_2/peak_calling_mm10/ENCSR088UYE_2_peaks_normalized.narrowPeak,narrow
ENCSR096JCC_1,midbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR096JCC_1/aligned_mm10/ENCSR096JCC_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR096JCC_1/peak_calling_mm10/ENCSR096JCC_1_peaks_normalized.narrowPeak,narrow
ENCSR096JCC_2,midbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR096JCC_2/aligned_mm10/ENCSR096JCC_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR096JCC_2/peak_calling_mm10/ENCSR096JCC_2_peaks_normalized.narrowPeak,narrow
ENCSR102NGD_1,lung,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR102NGD_1/aligned_mm10/ENCSR102NGD_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR102NGD_1/peak_calling_mm10/ENCSR102NGD_1_peaks_normalized.narrowPeak,narrow
ENCSR102NGD_2,lung,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR102NGD_2/aligned_mm10/ENCSR102NGD_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR102NGD_2/peak_calling_mm10/ENCSR102NGD_2_peaks_normalized.narrowPeak,narrow
ENCSR136XSY_1,erythroid_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR136XSY_1/aligned_mm10/ENCSR136XSY_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR136XSY_1/peak_calling_mm10/ENCSR136XSY_1_peaks_normalized.narrowPeak,narrow
ENCSR136XSY_2,erythroid_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR136XSY_2/aligned_mm10/ENCSR136XSY_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR136XSY_2/peak_calling_mm10/ENCSR136XSY_2_peaks_normalized.narrowPeak,narrow
ENCSR136XSY_3,erythroid_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR136XSY_3/aligned_mm10/ENCSR136XSY_3_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR136XSY_3/peak_calling_mm10/ENCSR136XSY_3_peaks_normalized.narrowPeak,narrow
ENCSR150EOO_1,intestine,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150EOO_1/aligned_mm10/ENCSR150EOO_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150EOO_1/peak_calling_mm10/ENCSR150EOO_1_peaks_normalized.narrowPeak,narrow
ENCSR150EOO_2,intestine,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150EOO_2/aligned_mm10/ENCSR150EOO_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150EOO_2/peak_calling_mm10/ENCSR150EOO_2_peaks_normalized.narrowPeak,narrow
ENCSR150RMQ_1,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150RMQ_1/aligned_mm10/ENCSR150RMQ_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150RMQ_1/peak_calling_mm10/ENCSR150RMQ_1_peaks_normalized.narrowPeak,narrow
ENCSR150RMQ_2,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150RMQ_2/aligned_mm10/ENCSR150RMQ_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR150RMQ_2/peak_calling_mm10/ENCSR150RMQ_2_peaks_normalized.narrowPeak,narrow
ENCSR154BXN_1,midbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR154BXN_1/aligned_mm10/ENCSR154BXN_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR154BXN_1/peak_calling_mm10/ENCSR154BXN_1_peaks_normalized.narrowPeak,narrow
ENCSR154BXN_2,midbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR154BXN_2/aligned_mm10/ENCSR154BXN_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR154BXN_2/peak_calling_mm10/ENCSR154BXN_2_peaks_normalized.narrowPeak,narrow
ENCSR176BYZ_1,hindbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR176BYZ_1/aligned_mm10/ENCSR176BYZ_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR176BYZ_1/peak_calling_mm10/ENCSR176BYZ_1_peaks_normalized.narrowPeak,narrow
ENCSR176BYZ_2,hindbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR176BYZ_2/aligned_mm10/ENCSR176BYZ_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR176BYZ_2/peak_calling_mm10/ENCSR176BYZ_2_peaks_normalized.narrowPeak,narrow
ENCSR204ZTY_1,limb,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR204ZTY_1/aligned_mm10/ENCSR204ZTY_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR204ZTY_1/peak_calling_mm10/ENCSR204ZTY_1_peaks_normalized.narrowPeak,narrow
ENCSR204ZTY_2,limb,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR204ZTY_2/aligned_mm10/ENCSR204ZTY_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR204ZTY_2/peak_calling_mm10/ENCSR204ZTY_2_peaks_normalized.narrowPeak,narrow
ENCSR211OCS_1,midbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR211OCS_1/aligned_mm10/ENCSR211OCS_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR211OCS_1/peak_calling_mm10/ENCSR211OCS_1_peaks_normalized.narrowPeak,narrow
ENCSR211OCS_2,midbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR211OCS_2/aligned_mm10/ENCSR211OCS_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR211OCS_2/peak_calling_mm10/ENCSR211OCS_2_peaks_normalized.narrowPeak,narrow
ENCSR217NOA_1,neural_tube,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR217NOA_1/aligned_mm10/ENCSR217NOA_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR217NOA_1/peak_calling_mm10/ENCSR217NOA_1_peaks_normalized.narrowPeak,narrow
ENCSR217NOA_2,neural_tube,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR217NOA_2/aligned_mm10/ENCSR217NOA_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR217NOA_2/peak_calling_mm10/ENCSR217NOA_2_peaks_normalized.narrowPeak,narrow
ENCSR229QKB_1,megakaryocyte_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR229QKB_1/aligned_mm10/ENCSR229QKB_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR229QKB_1/peak_calling_mm10/ENCSR229QKB_1_peaks_normalized.narrowPeak,narrow
ENCSR229QKB_2,megakaryocyte_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR229QKB_2/aligned_mm10/ENCSR229QKB_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR229QKB_2/peak_calling_mm10/ENCSR229QKB_2_peaks_normalized.narrowPeak,narrow
